position,position_number,unique_number,date,hour,x,y,z
CV,1,40162,2019-08-02 09:36:12+00:00,9,0.328125,0.25,-0.875
CV,1,40162,2019-08-02 09:47:29+00:00,9,0.0,0.046875,-0.953125
CV,1,40162,2019-08-02 09:48:05+00:00,9,0.109375,0.125,-0.9375
D,7,40072,2019-08-02 09:48:42+00:00,9,-0.5,0.0625,-0.84375
D,7,40072,2019-08-02 09:48:53+00:00,9,-0.4375,0.046875,-0.875
CV,1,40162,2019-08-02 09:49:00+00:00,9,0.09375,0.140625,-0.9375
CV,1,40162,2019-08-02 09:49:36+00:00,9,0.09375,0.140625,-0.953125
CV,1,40162,2019-08-02 09:50:25+00:00,9,0.09375,0.140625,-0.9375
CV,1,40162,2019-08-02 09:51:01+00:00,9,0.09375,0.140625,-0.953125
CV,1,40162,2019-08-02 09:51:37+00:00,9,0.078125,0.140625,-0.9375
CV,1,40162,2019-08-02 09:52:13+00:00,9,0.109375,0.140625,-0.953125
CV,1,40072,2019-08-02 09:57:13+00:00,9,0.0625,0.09375,-0.96875
CV,1,40072,2019-08-02 09:57:49+00:00,9,0.109375,0.109375,-0.96875
CV,1,40072,2019-08-02 09:58:25+00:00,9,0.09375,0.109375,-0.953125
CV,1,40072,2019-08-02 09:59:01+00:00,9,0.0625,0.09375,-0.96875
CV,1,40072,2019-08-02 09:59:37+00:00,9,0.078125,0.109375,-0.96875
CV,1,40072,2019-08-02 10:00:13+00:00,10,0.0625,0.078125,-0.96875
D,7,40072,2019-08-02 10:09:07+00:00,10,-0.3125,0.0,-0.96875
CV,1,40162,2019-08-02 10:10:31+00:00,10,-0.046875,0.75,-0.65625
CV,1,40162,2019-08-02 10:11:07+00:00,10,-0.046875,0.734375,-0.640625
CV,1,40162,2019-08-02 10:11:43+00:00,10,-0.03125,0.75,-0.640625
CV,1,40162,2019-08-02 10:12:19+00:00,10,-0.03125,0.75,-0.640625
CV,1,40162,2019-08-02 10:12:55+00:00,10,-0.03125,0.75,-0.625
CV,1,40162,2019-08-02 10:13:31+00:00,10,-0.03125,0.734375,-0.640625
CV,1,40072,2019-08-02 10:14:53+00:00,10,-0.109375,0.609375,-0.75
CV,1,40072,2019-08-02 10:15:29+00:00,10,-0.09375,0.625,-0.75
CV,1,40072,2019-08-02 10:16:05+00:00,10,-0.078125,0.625,-0.734375
CV,1,40072,2019-08-02 10:16:41+00:00,10,-0.109375,0.609375,-0.75
CG,3,40072,2019-08-02 10:27:21+00:00,10,-0.078125,0.8125,-0.515625
CG,3,40072,2019-08-02 10:28:12+00:00,10,-0.078125,0.828125,-0.53125
D,7,40042,2019-08-02 10:34:19+00:00,10,-0.46875,0.09375,-0.84375
CV,1,40072,2019-08-02 10:34:31+00:00,10,0.078125,0.3125,-0.90625
CV,1,40072,2019-08-02 10:35:07+00:00,10,0.109375,0.328125,-0.90625
CV,1,40072,2019-08-02 10:41:11+00:00,10,0.28125,0.1875,-0.90625
CV,1,40072,2019-08-02 10:41:47+00:00,10,0.234375,0.0625,-0.953125
CV,1,40072,2019-08-02 10:42:23+00:00,10,0.234375,0.0,-0.953125
CV,1,40042,2019-08-02 10:45:04+00:00,10,0.09375,0.125,-0.9375
CV,1,40042,2019-08-02 10:45:40+00:00,10,0.109375,0.125,-0.9375
CV,1,40042,2019-08-02 10:46:16+00:00,10,0.078125,0.09375,-0.9375
CV,1,40042,2019-08-02 10:46:52+00:00,10,0.109375,0.109375,-0.9375
CV,1,40042,2019-08-02 10:47:28+00:00,10,0.109375,0.09375,-0.953125
CV,1,40042,2019-08-02 10:48:04+00:00,10,0.09375,0.09375,-0.9375
CV,1,40042,2019-08-02 10:48:40+00:00,10,0.09375,0.078125,-0.921875
CV,1,40042,2019-08-02 10:49:16+00:00,10,0.125,0.125,-0.953125
CV,1,40072,2019-08-02 10:50:52+00:00,10,-0.046875,0.46875,-0.84375
CV,1,40072,2019-08-02 10:51:28+00:00,10,-0.03125,0.453125,-0.859375
CV,1,40072,2019-08-02 10:52:04+00:00,10,-0.0625,0.46875,-0.859375
CV,1,40072,2019-08-02 10:52:40+00:00,10,-0.0625,0.453125,-0.859375
CV,1,40072,2019-08-02 10:59:24+00:00,10,0.046875,0.015625,-0.96875
D,7,40072,2019-08-02 11:01:22+00:00,11,-0.421875,-0.03125,-0.90625
CG,3,40162,2019-08-02 11:40:52+00:00,11,0.015625,0.984375,-0.1875
CG,3,40162,2019-08-02 11:41:43+00:00,11,0.03125,0.984375,-0.171875
CG,3,40162,2019-08-02 11:42:34+00:00,11,0.015625,1.0,-0.1875
CG,3,40162,2019-08-02 11:43:25+00:00,11,0.03125,0.984375,-0.1875
CG,3,40162,2019-08-02 11:44:16+00:00,11,0.03125,0.96875,-0.1875
CG,3,40162,2019-08-02 11:45:07+00:00,11,0.03125,0.984375,-0.1875
CG,3,40162,2019-08-02 11:45:58+00:00,11,0.015625,0.984375,-0.203125
CG,3,40162,2019-08-02 11:46:49+00:00,11,0.03125,0.984375,-0.1875
CG,3,40162,2019-08-02 11:47:40+00:00,11,0.046875,0.984375,-0.1875
CG,3,40162,2019-08-02 11:48:31+00:00,11,0.03125,0.984375,-0.1875
CG,3,40162,2019-08-02 11:49:22+00:00,11,0.03125,0.984375,-0.1875
CG,3,40162,2019-08-02 11:50:13+00:00,11,0.03125,0.984375,-0.203125
CG,3,40162,2019-08-02 11:51:04+00:00,11,0.0625,0.984375,-0.1875
CG,3,40162,2019-08-02 11:51:55+00:00,11,0.03125,0.96875,-0.171875
CG,3,40162,2019-08-02 11:52:46+00:00,11,0.046875,0.984375,-0.171875
CG,3,40162,2019-08-02 11:53:37+00:00,11,0.015625,1.0,-0.171875
CG,3,40162,2019-08-02 11:54:29+00:00,11,0.03125,1.0,-0.03125
CG,3,40162,2019-08-02 11:55:20+00:00,11,0.046875,1.0,-0.03125
CG,3,40162,2019-08-02 11:56:11+00:00,11,0.046875,1.015625,-0.015625
CG,3,40162,2019-08-02 11:57:02+00:00,11,0.046875,0.984375,-0.03125
CG,3,40162,2019-08-02 11:57:53+00:00,11,0.046875,1.0,-0.015625
CG,3,40162,2019-08-02 11:58:44+00:00,11,0.046875,1.0,-0.015625
CG,3,40162,2019-08-02 11:59:35+00:00,11,0.03125,1.0,-0.015625
CG,3,40162,2019-08-02 12:00:26+00:00,12,0.03125,1.0,-0.015625
CG,3,40162,2019-08-02 12:01:17+00:00,12,0.03125,0.984375,-0.015625
CG,3,40162,2019-08-02 12:02:08+00:00,12,0.046875,1.0,-0.03125
CG,3,40162,2019-08-02 12:02:59+00:00,12,0.046875,1.0,-0.015625
CG,3,40162,2019-08-02 12:03:50+00:00,12,0.03125,1.0,-0.03125
CG,3,40162,2019-08-02 12:04:41+00:00,12,0.046875,1.0,-0.015625
CG,3,40162,2019-08-02 12:05:32+00:00,12,0.03125,1.0,-0.03125
CG,3,40162,2019-08-02 12:06:23+00:00,12,0.03125,1.0,0.0
CD,2,40042,2019-08-02 12:07:30+00:00,12,-0.15625,-0.921875,-0.296875
CD,2,40042,2019-08-02 12:08:16+00:00,12,-0.171875,-0.90625,-0.3125
CD,2,40042,2019-08-02 12:09:02+00:00,12,-0.15625,-0.921875,-0.296875
CD,2,40042,2019-08-02 12:09:48+00:00,12,-0.171875,-0.9375,-0.265625
CD,2,40042,2019-08-02 12:10:34+00:00,12,-0.171875,-0.921875,-0.3125
CD,2,40042,2019-08-02 12:11:20+00:00,12,-0.15625,-0.890625,-0.3125
CD,2,40042,2019-08-02 12:12:06+00:00,12,-0.15625,-0.90625,-0.3125
CD,2,40042,2019-08-02 12:12:52+00:00,12,-0.171875,-0.953125,-0.1875
CD,2,40042,2019-08-02 12:13:38+00:00,12,-0.171875,-0.953125,-0.171875
CD,2,40042,2019-08-02 12:14:24+00:00,12,-0.171875,-0.953125,-0.171875
CD,2,40042,2019-08-02 12:15:10+00:00,12,-0.15625,-0.953125,-0.171875
CD,2,40042,2019-08-02 12:15:56+00:00,12,-0.15625,-0.96875,-0.140625
CD,2,40042,2019-08-02 12:16:42+00:00,12,-0.15625,-0.953125,-0.171875
CD,2,40042,2019-08-02 12:17:28+00:00,12,-0.171875,-0.953125,-0.15625
CD,2,40042,2019-08-02 12:18:14+00:00,12,-0.171875,-0.953125,-0.15625
CD,2,40042,2019-08-02 12:19:00+00:00,12,-0.15625,-0.953125,-0.171875
CD,2,40042,2019-08-02 12:19:46+00:00,12,-0.1875,-0.9375,-0.203125
CD,2,40042,2019-08-02 12:20:32+00:00,12,-0.171875,-0.953125,-0.1875
